,County,"1,1,2,2-Tetrachloroethane","1,3-Butadiene",Acetaldehyde,Acrolein,Acrylonitrile,Arsenic,Benzene,Beryllium,Cadmium,Chloroform,Chromium (VI),Chromium III,Ethylene Dichloride,Ethylene Oxide,Formaldehyde,Hexachlorobenzene,Lead,Manganese,Mercury,Nickel,PM2.5 Primary (Filt + Cond),Propylene Dichloride,Trichloroethylene,Vinyl Chloride,COPD deaths normalized,Old,M,Minority
10,Bastrop,0.551674793,589.0970148264091,23618.332042402602,672.1644532639092,1.398682353,0.9909882685294117,1814.0217579353887,0.6142631226666667,18.924756917363638,4.333451700333333,0.7144271709375,21.872893547444445,6.544067933333333,0.804423529,33141.79175205969,0.409195797,5.624450842714286,3.699379085352941,0.2117572984444445,1.4852980408888892,75666.04996028572,0.306980133,474.42242125,0.170226043,76.64280913582284,0.21454090957327643,0.5080357037578559,0.11354926953507292
11,Baylor,0.3334813295,117.99908179314998,19263.563273264448,182.0086069202105,0.063576471,0.07265123128571428,487.86451183931257,0.04511985885000001,0.04336540625000001,0.780172955,0.0004307818769230769,0.00024411850000000002,0.0,0.036564706,26751.1905880734,0.031911617,0.21748011749999996,0.11409094642857144,0.008395945399999999,0.09097424626666668,29548.660305352943,0.172227064,68.88556254999999,0.09515184600000001,177.01601573475696,0.31329025007024447,0.49227311042427646,0.04860915987636977
12,Bee,5.515121888,208.79749934680945,26723.398803992066,439.96221735384995,0.608517647,0.23866971142857143,1137.8720158337246,0.17558172583333334,0.175945761875,2.6961788085714287,0.001014917223076923,0.0010006691666666666,1.31931225,0.349976471,38188.720820867056,0.008684807,2.528371952,0.4509900684285714,0.05502766168749999,0.2544442668,30830.154969657146,2.7074568993333337,215.8828617,3.946532562,77.9165005061505,0.16822601920304303,0.6084849228503942,0.10957391331022424
13,Bell,1.227464706,1005.967619650875,25560.821519826728,627.4948627708181,6.057929412000001,1.0246823904117648,4480.790841933743,0.21878605628571426,0.38322883650000006,20.543656,2.455123931388889,108.09431982090909,22.6088435,3.4840941180000002,31772.29652353145,0.0,43.70854815538462,35.026601104444445,0.5792780572941176,41.14374803042106,108183.27714995353,0.180482353,3959.8538744999996,1.305307529,56.66219157052876,0.15000963056021113,0.4982535625885796,0.3188520372228339
14,Bexar,126.60053692666668,4645.772803202542,33675.60756175353,2299.967194955565,235.4045960666667,11.6474538467,19186.218751582222,12.023391019444443,9.865056648769231,134.96517578,2.467889839409091,23.497886223199995,192.1012245,10.166141175,49322.23434597143,0.0,103.0911925847059,44.62638838814286,32.3297849704,23.319280157434786,253903.92424795922,2.398321003,7466.825479999999,305.33541574,62.13878512855306,0.16735712597398156,0.4937266475431135,0.1410196131283754
15,Blanco,0.000905882,229.88307131105557,21550.256108380992,306.8945847849412,0.199811765,0.17234287346153845,541.4188609573225,0.12065234506666668,0.10594696099999999,1.3585050117999997,0.0009001401923076924,0.003261989166666667,1.94872,0.114917647,28660.79312677589,0.077153403,1.290413553636364,0.272932612,0.018606595,0.17790891264285716,19413.557164470592,0.005952941,113.33637524999999,0.003473412,98.14991748458264,0.3298010944150091,0.5004777208373143,0.04386345869886216
16,Borden,3.4500223201666667,28.948034707315802,20950.843378964742,102.09002047361112,0.009082353,0.029102386781357143,2343.727557443415,5.295519999999999e-07,0.023570323785874998,0.9889411914285715,0.0001469815593846154,8.548854833333332e-06,1.2063335,0.005223529,27993.60204417975,0.005453251,0.018057214267454543,0.042280497620714286,0.011778347539499998,0.030595930193333336,6888.084775330303,2.136253166,0.0036,1.182189746,0.0,0.30895522388059704,0.5253731343283582,0.034328358208955224
17,Bosque,0.0014823529999999998,348.2875615935238,23202.28999648606,460.95643939049995,0.326964706,0.27996477086666677,997.0805108702822,0.4143629425,0.3292813951,1.1565396848,0.10283965274375,0.35762105986666665,1.9664026666666665,0.188047059,32758.60875462493,0.08785793300000001,3.9609144386153847,0.42868107913333336,0.4404732141117647,4.908418461411763,43657.576109526315,0.009741175999999999,172.5825255,0.005683765,132.65640353750408,0.32170542635658916,0.49546893765694944,0.0415438366633912
18,Bowie,0.09263659149999999,896.7277860617618,22177.02607110959,1091.9517096170475,1.7256470590000001,3.6485501788124997,2604.1053581911206,1.0888862678749998,1.2291509600000001,18.184683499428573,14.689089268000004,12.260464772545458,9.919146385,0.992470588,30550.215702512152,0.281953274,4.37944606,11.911836644687499,0.27155956588235297,1.2898194716666664,82612.30772204998,3.2209961669999996,384.0845416666666,1.7578422796666668,106.94106004660715,0.2225118912074231,0.5029634910669631,0.2868254998563478
19,Brazoria,169.10297106225,6006.264836337628,27643.377251973052,2144.6874750841603,6128.982484705801,12.895764010826086,8383.95842748229,0.2490586049,3.842229676428571,531.3380431681818,0.9559165654500005,4.560458863076923,2823.965659182857,610.1288588225,38704.39783026103,22.252686566,85.90911445,6.11654555059091,1.789548433043479,24.994070115269245,225578.43357343486,1156.3606298211428,1143.683955142857,2778.922260910334,62.06231044940722,0.1684091535704439,0.5060545905707196,0.22849738075544526
